word,length,q,rho_ratio_lower,rho_ratio_upper,delta_lower_nats,delta_upper_nats,states,reachable
45,2,9,488071696742742588046126010857/482985960276060000000000000000,22131526249771620243020308901/21900914413717657743020308901,0.010474729137657915,0.010474729137658869,36,26
45,2,11,307724524032707023437176004581/304548364866352406250000000000,29152368408168263076745462412/28851474085781637953115161597,0.010375072013145397,0.010375072013147395,44,31
45,2,16,36332186585806825117761332423/35954292459477500000000000000,224209434776349309991209023787/221877413600868630456673166014,0.010455553345116891,0.010455553345118912,64,40
46,2,9,1009211205269942125644141083441/998817063616338500000000000000,1997929829277069678168129985921/1977352604657457332672190165851,0.010352677449524805,0.010352677449526475,36,26
46,2,11,138734679414557479371310652809/137302738989549921875000000000,21952655164562489748805296603/21726072348362201444033215691,0.010375066380549528,0.010375066380551730,44,31
46,2,16,556545374003499883426320808877/551082087292059562500000000000,1740465400611553000258584689812/1723380250075696805159234150647,0.009864925181167353,0.009864925181168846,64,40
47,2,9,224526760022955449646961882717/222214297639941050000000000000,340222581883642011971903562223/336718536653676386771535341555,0.010352677449525243,0.010352677449526767,36,26
47,2,11,110987729079299762680654885439/109842176888462600000000000000,221053134943976149696415741587/218771550257748341309007810714,0.010375066380549632,0.010375066380551129,44,31
47,2,16,166557275278318414577984956803/164908969843671250000000000000,449954869951755642541565169617/445501968952694617126055618025,0.009945622190986726,0.009945622190990356,64,40
48,2,9,252301036038610618957603083683/249702554884407875000000000000,38421728026958941664238837447/38026017657483076594470166307,0.010352532965172838,0.010352532965175545,36,26
48,2,11,2999668353494588180558240147/2968707483471962500000000000,1111179525646800013792849864346/1099710562811199015878800478983,0.010375066380549518,0.010375066380550863,44,31
48,2,16,736470727862405064080602728469/728747139751374750000000000000,2184141232415320396201937868144/2161235492082015141932988646087,0.010542677399851907,0.010542677399853480,64,40
49,2,9,31504648156422511164963683839/31217346689786781250000000000,52577147729829013340982323506/52097679062878304338687125243,0.009161171506148798,0.009161171506153491,36,26
49,2,11,444044891285077835592957833/439889806993198350000000000,2222583624202812535073420254314/2201786127180408766076686149581,0.009401406923741370,0.009401406923742729,44,31
49,2,16,2181733351634452152675672228989/2159036988349055750000000000000,1965070509286585223606686627204/1944628068817504647048828859161,0.010457392739683449,0.010457392739685257,64,40
50,2,9,31504648156422511164963683839/31217346689786781250000000000,1997931613733502506957328293228/1979711804389375340125239367645,0.009161171506148798,0.009161171506153604,36,26
50,2,11,1236170366260897543965464059923/1224603085177958500000000000000,2222583624202812535073420254314/2201786127180408766076686149581,0.009401406923741443,0.009401406923742729,44,31
50,2,16,1217436201320685049893150600703/1204771329015704375000000000000,300243372267681169312784883906/297119969196487442710443595925,0.010457392739683669,0.010457392739685035,64,40
51,2,9,252301036038610618957603083683/249702554884407875000000000000,589495423321836540641325330077/583424133357904127442583706240,0.010352532965172838,0.010352532965175595,36,26
51,2,11,2999668353494588180558240147/2968707483471962500000000000,181410371666467014336033203429/179537957027235602904507608948,0.010375066380549518,0.010375066380550911,44,31
51,2,16,736470727862405064080602728469/728747139751374625000000000000,1997618053338381351193625628078/1976668437198270014836719977851,0.010542677399852078,0.010542677399853242,64,40
52,2,9,224526760022955449646961882717/222214297639941050000000000000,340222581883642011971903562223/336718536653676386771535341555,0.010352677449525243,0.010352677449526767,36,26
52,2,11,138734482891617447814508287743/137302544495007828125000000000,71688918754069827553969400719/70948986523554454592197262936,0.010375066380549772,0.010375066380550921,44,31
52,2,16,499671825834955243733954870409/494726909531013500000000000000,449954869951755642541565169617/445501968952694617126055618025,0.009945622190987232,0.009945622190990356,64,40
53,2,9,1009211205269942125644141083441/998817063616338750000000000000,1997929829277069678168129985921/1977352604657457557417061557440,0.010352677449524555,0.010352677449526362,36,26
53,2,11,138734679414557479371310652809/137302738989549921875000000000,21952655164562489748805296603/21726072348362201444033215691,0.010375066380549528,0.010375066380551730,44,31
53,2,16,368424129049441468893864678163/364807520696503937500000000000,926410928839012840948751797697/917316884124469707692294176206,0.009864925181167416,0.009864925181168717,64,40
54,2,9,1969479980809907144696753320491/1948957880828180000000000000000,22131526249771620243020308901/21900914413717657743020308901,0.010474729137657396,0.010474729137658869,36,26
54,2,11,307724524032707023437176004581/304548364866352375000000000000,29152368408168263076745462412/28851474085781637953115161597,0.010375072013145500,0.010375072013147395,44,31
54,2,16,36332186585806825117761332423/35954292459477500000000000000,224209434776349309991209023787/221877413600868630456673166014,0.010455553345116891,0.010455553345118912,64,40
55,2,9,1756778291426884570312500000/1740409227291153608727990317,23803451388808426040299071723/23581658904044312500000000000,0.009361341700706985,0.009361341700708515,36,26
