N	num_bits	den_bits	lambda_bits	cancellation_g	g_factorization	v2_num	v3_g	u_num_mod_17	u_num_mod_19	u_num_mod_29	u_num_mod_31	u_num_mod_43	u_num_mod_59	u_num_mod_101	u_num_mod_251	u_num_mod_1009	u_lcd_mod_17	u_lcd_mod_19	u_lcd_mod_29	u_lcd_mod_31	u_lcd_mod_43	u_lcd_mod_59	u_lcd_mod_101	u_lcd_mod_251	u_lcd_mod_1009	code1	code2	code3	code4
777	74681	93767	93769	3	3	781	1	3	12	25	25	6	14	98	12	806	9	17	17	13	18	42	92	36	400	9	95	951	9510
778	74777	93888	93889	3	3	782	1	1	12	19	28	34	13	12	17	47	3	17	28	22	16	39	36	51	141	5	51	510	5105
779	74871	94006	94007	3	3	783	1	8	16	3	18	13	29	66	152	427	7	10	9	23	39	28	97	205	272	1	10	105	1059
780	74969	94128	94130	3	3	784	1	2	10	18	7	26	12	37	49	831	6	11	25	21	35	36	10	147	475	0	5	59	597
781	75065	94249	94250	3	3	785	1	16	17	19	14	9	12	52	71	123	14	13	28	11	27	36	55	213	369	5	59	597	5973
782	75160	94369	94371	3	3	786	1	14	1	6	22	34	52	13	40	598	8	3	18	4	16	38	39	120	785	9	97	973	9731
783	75256	94490	94491	3	3	787	1	4	13	28	25	31	2	82	71	402	12	1	26	13	7	6	44	213	197	7	73	731	7317
784	75347	94605	94607	3	3	788	1	10	0	2	1	6	18	21	56	111	13	0	6	3	18	54	63	168	333	3	31	317	3173
785	75446	94728	94730	3	3	789	1	12	9	11	29	41	13	3	227	824	2	8	4	25	37	39	9	179	454	1	17	173	1732
786	75544	94851	94852	3	3	790	1	6	6	1	2	33	2	65	171	530	1	18	3	6	13	6	94	11	581	7	73	732	7328
787	75640	94971	94973	3	3	791	1	1	6	24	30	23	20	89	199	88	3	18	14	28	26	1	65	95	264	3	32	328	3281
788	75735	95091	95093	3	3	792	1	9	1	7	29	7	58	11	82	520	10	3	21	25	21	56	33	246	551	2	28	281	2816
789	75827	95207	95209	3	3	793	1	5	3	2	11	18	41	80	114	450	15	9	6	2	11	5	38	91	341	8	81	816	8160
790	75927	95332	95334	3	3	794	1	13	14	11	15	5	25	22	4	134	5	4	4	14	15	16	66	12	402	1	16	160	1609
791	76023	95452	95454	3	3	795	1	8	15	27	12	22	57	7	127	301	7	7	23	5	23	53	21	130	903	6	60	609	6096
792	76119	95573	95574	3	3	796	1	7	13	0	25	37	5	0	94	585	4	1	0	13	25	15	0	31	746	0	9	96	963
793	76212	95691	95692	3	3	797	1	16	3	22	16	5	23	36	121	777	14	9	8	17	15	10	7	112	313	9	96	963	9631
794	76308	95811	95813	3	3	798	1	14	8	13	7	32	26	11	82	868	8	5	10	21	10	19	33	246	586	6	63	631	6318
795	76406	95934	95935	3	3	799	1	13	7	17	22	6	27	23	72	938	5	2	22	4	18	22	69	216	796	3	31	318	3185
796	76502	96054	96056	3	3	800	1	7	12	2	8	39	43	90	160	326	4	17	6	24	31	11	68	229	978	1	18	185	1859
797	76595	96172	96174	3	3	801	1	16	5	24	22	19	21	26	38	828	14	15	14	4	14	4	78	114	466	8	85	859	8595
798	76694	96295	96297	3	3	802	1	1	12	1	10	33	15	79	223	758	3	17	3	30	13	45	35	167	256	5	59	595	5950
799	76787	96413	96415	3	3	803	1	1	15	5	27	27	53	20	210	648	3	7	15	19	38	41	60	128	935	9	95	950	9502
800	76885	96536	96537	3	3	804	1	4	7	12	30	40	7	76	104	644	12	2	7	28	34	21	26	61	923	5	50	502	5024
801	76979	96654	96655	3	3	805	1	9	7	6	21	25	30	2	109	768	10	2	18	1	32	31	6	76	286	0	2	24	244
802	77077	96776	96778	3	3	806	1	15	14	12	15	21	45	89	179	300	11	4	7	14	20	17	65	35	900	2	24	244	2445
803	77173	96897	96898	3	3	807	1	5	11	21	30	27	16	70	127	505	15	14	5	28	38	48	8	130	506	4	44	445	4459
804	77266	97015	97016	3	3	808	1	7	15	19	3	37	54	54	134	448	4	7	28	9	25	44	61	151	335	4	45	459	4594
805	77360	97133	97139	57	3*19	809	1	15	8	1	28	42	50	29	74	413	5	0	28	15	29	18	37	202	334	5	59	594	5945
806	77460	97258	97260	3	3	810	1	0	5	24	3	41	2	10	242	464	0	15	14	9	37	6	30	224	383	9	94	945	9455
807	77556	97378	97380	3	3	811	1	2	4	11	30	14	56	51	224	208	6	12	4	28	42	50	52	170	624	4	45	455	4553
808	77652	97499	97500	3	3	812	1	13	6	20	22	20	40	21	77	2	5	18	2	4	17	2	63	231	6	5	55	553	5534
809	77743	97614	97616	3	3	813	1	3	4	27	9	5	0	75	67	261	9	12	23	27	15	0	23	201	783	5	53	534	5346
810	77841	97737	97739	3	3	814	1	13	7	9	9	40	6	43	176	879	5	2	27	27	34	18	28	26	619	3	34	346	3469
811	77939	97860	97861	3	3	815	1	15	6	16	9	25	38	69	203	1007	11	18	19	27	32	55	5	107	1003	4	46	469	4690
812	78035	97980	97982	3	3	816	1	10	7	28	23	32	16	76	208	883	13	2	26	7	10	48	26	122	631	6	69	690	6908
813	78131	98100	98102	3	3	817	1	11	10	2	16	2	2	73	114	3	16	11	6	17	6	6	17	91	9	9	90	908	9083
814	78222	98216	98218	3	3	818	1	15	16	12	15	23	0	1	8	189	11	10	7	14	26	0	3	24	567	0	8	83	830
815	78323	98341	98343	3	3	819	1	9	12	6	14	32	38	18	245	646	10	17	18	11	10	55	54	233	929	8	83	830	8302
816	78410	98454	98455	3	3	820	1	3	17	16	15	38	34	51	13	987	9	13	19	14	28	43	52	39	943	3	30	302	3026
817	78514	98582	98584	3	3	821	1	4	5	3	15	32	54	69	244	287	12	15	9	14	10	44	5	230	861	0	2	26	264
818	78603	98695	98702	87	3*29	822	1	14	12	6	7	34	35	40	43	669	11	18	0	20	34	36	46	227	690	2	26	264	2642
819	78703	98820	98822	3	3	823	1	1	6	23	26	4	14	64	61	521	3	18	11	16	12	42	91	183	554	6	64	642	6425
820	78802	98943	98945	3	3	824	1	1	10	22	20	28	21	87	163	440	3	11	8	29	41	4	59	238	311	4	42	425	4252
821	78897	99063	99065	3	3	825	1	1	6	25	1	2	15	100	65	829	3	18	17	3	6	45	98	195	469	2	25	252	2522
822	78989	99179	99181	3	3	826	1	10	3	0	28	1	3	4	13	828	13	9	0	22	3	9	12	39	466	5	52	522	5223
823	79089	99304	99306	3	3	827	1	10	6	24	30	40	40	92	236	683	13	18	14	28	34	2	74	206	31	2	22	223	2230
824	79183	99422	99424	3	3	828	1	12	2	15	30	23	12	100	11	717	2	6	16	28	26	36	98	33	133	2	23	230	2308
825	79281	99545	99546	3	3	829	1	16	13	18	1	19	57	90	105	1	14	1	25	3	14	53	68	64	3	3	30	308	3082
826	79372	99661	99664	15	3*5	830	1	3	3	25	25	34	34	47	61	147	11	7	27	3	37	38	99	162	187	0	8	82	825
827	79472	99786	99787	3	3	831	1	5	7	1	4	24	40	59	140	620	15	2	3	12	29	2	76	169	851	8	82	825	8253
828	79568	99906	99908	3	3	832	1	16	1	15	2	30	21	2	65	338	14	3	16	6	4	4	6	195	5	2	25	253	2533
829	79662	100024	100026	3	3	833	1	3	13	26	6	17	44	51	140	409	9	1	20	18	8	14	52	169	218	5	53	533	5334
830	79760	100147	100148	3	3	834	1	10	5	4	0	33	41	77	87	358	13	15	12	0	13	5	29	10	65	3	33	334	3344
831	79850	100261	100269	201	3*67	835	1	9	9	8	9	17	6	97	63	357	7	4	13	11	20	26	4	113	118	3	34	344	3446
832	79951	100387	100389	3	3	836	1	7	3	6	5	21	11	99	0	483	4	9	18	15	20	33	95	0	440	4	44	446	4468
833	80047	100508	100509	3	3	837	1	12	11	11	15	6	43	98	95	905	2	14	4	14	18	11	92	34	697	4	46	468	4685
834	80138	100623	100625	3	3	838	1	9	2	9	21	2	20	78	126	373	10	6	27	1	6	1	32	127	110	6	68	685	6850
835	80237	100746	100748	3	3	839	1	5	10	26	15	41	29	94	117	928	15	11	20	14	37	28	80	100	766	8	85	850	8503
836	80328	100862	100870	249	3*83	840	1	9	6	12	12	1	8	64	44	587	14	12	1	12	34	45	79	163	867	5	50	503	5035
837	80431	100989	100991	3	3	841	1	2	10	27	3	37	12	100	127	659	6	11	23	9	25	36	98	130	968	0	3	35	352
838	80526	101110	101111	3	3	842	1	1	17	24	24	35	33	44	52	4	3	13	14	10	19	40	31	156	12	3	35	352	3526
