stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
pi,10000,16,0123,0,10000,9985,0,0,true,9985,0/9985
pi,10000,32,0,968,10000,9969,9431,31944,true,538,9431/9969
pi,10000,32,1,1026,10000,9969,9653,33858,true,316,9653/9969
pi,10000,32,00,85,10000,9969,2149,2805,true,7820,2149/9969
pi,10000,32,01,103,10000,9969,2694,3399,true,7275,2694/9969
pi,10000,32,11,99,10000,9969,2491,3267,true,7478,2491/9969
pi,10000,32,000,7,10000,9969,210,231,true,9759,210/9969
pi,10000,32,001,8,10000,9969,203,264,true,9766,203/9969
pi,10000,32,012,12,10000,9969,360,396,true,9609,360/9969
pi,10000,32,123,11,10000,9969,330,363,true,9639,330/9969
pi,10000,32,0000,0,10000,9969,0,0,true,9969,0/9969
pi,10000,32,0123,0,10000,9969,0,0,true,9969,0/9969
iid,1000,1,0,94,1000,1000,94,188,true,906,94/1000
iid,1000,1,1,103,1000,1000,103,206,true,897,103/1000
iid,1000,1,00,11,1000,1000,0,22,true,1000,0/1000
iid,1000,1,01,9,1000,1000,0,18,true,1000,0/1000
iid,1000,1,11,11,1000,1000,0,22,true,1000,0/1000
iid,1000,1,000,0,1000,1000,0,0,true,1000,0/1000
iid,1000,1,001,2,1000,1000,0,4,true,1000,0/1000
iid,1000,1,012,1,1000,1000,0,2,true,1000,0/1000
iid,1000,1,123,2,1000,1000,0,4,true,1000,0/1000
iid,1000,1,0000,0,1000,1000,0,0,true,1000,0/1000
iid,1000,1,0123,0,1000,1000,0,0,true,1000,0/1000
iid,1000,2,0,94,1000,999,177,282,true,822,177/999
iid,1000,2,1,103,1000,999,195,309,true,804,195/999
iid,1000,2,00,11,1000,999,11,33,true,988,11/999
iid,1000,2,01,9,1000,999,9,27,true,990,9/999
iid,1000,2,11,11,1000,999,11,33,true,988,11/999
iid,1000,2,000,0,1000,999,0,0,true,999,0/999
iid,1000,2,001,2,1000,999,0,6,true,999,0/999
iid,1000,2,012,1,1000,999,0,3,true,999,0/999
iid,1000,2,123,2,1000,999,0,6,true,999,0/999
