stream,N,L,sample_size,support_size,max_count,sum_squared_counts,collision_pairs,count_spectrum,exact_entropy_expression,entropy_nats,entropy_nats_per_digit,normalized_entropy_H_over_L_log10
t4_balanced,3000,2,2999,100,1092,1245749,621375,7:2;8:6;9:13;10:22;11:7;12:4;13:2;15:1;16:3;17:2;18:1;21:2;28:4;29:3;30:2;31:5;32:2;33:5;34:3;35:3;40:2;41:1;50:1;55:1;59:1;65:1;1092:1,ln(2999)-(14*ln(7)+48*ln(8)+117*ln(9)+220*ln(10)+77*ln(11)+48*ln(12)+26*ln(13)+15*ln(15)+48*ln(16)+34*ln(17)+18*ln(18)+42*ln(21)+112*ln(28)+87*ln(29)+60*ln(30)+155*ln(31)+64*ln(32)+165*ln(33)+102*ln(34)+105*ln(35)+80*ln(40)+41*ln(41)+50*ln(50)+55*ln(55)+59*ln(59)+65*ln(65)+1092*ln(1092))/2999,3.451141398400326748836169848070,1.725570699200163374418084924035,0.749405832796566955601894859624
t4_balanced,3000,4,2997,787,1074,1159221,578112,1:98;2:423;3:153;4:74;5:20;6:12;7:1;8:3;10:1;11:1;1074:1,ln(2997)-(98*ln(1)+846*ln(2)+459*ln(3)+296*ln(4)+100*ln(5)+72*ln(6)+7*ln(7)+24*ln(8)+10*ln(10)+11*ln(11)+1074*ln(1074))/2997,4.869066816542548620086823107167,1.217266704135637155021705776792,0.528652212610665467093848523246
t4_balanced,3000,8,2993,854,1054,1116039,556523,1:123;2:487;3:162;4:54;5:22;6:5;1054:1,ln(2993)-(123*ln(1)+974*ln(2)+486*ln(3)+216*ln(4)+110*ln(5)+30*ln(6)+1054*ln(1054))/2993,4.971793629778073021095428616495,0.621474203722259127636928577062,0.269902817321794506334753236819
t4_balanced,3000,16,2985,892,1020,1045449,521232,1:162;2:486;3:162;4:60;5:21;1020:1,ln(2985)-(162*ln(1)+972*ln(2)+486*ln(3)+240*ln(4)+105*ln(5)+1020*ln(1020))/2985,5.061497295952261744821002426491,0.316343580997016359051312651656,0.137386271612518599903957442182
t4_balanced,3000,32,2969,956,960,926541,461786,1:226;2:486;3:166;4:72;5:5;960:1,ln(2969)-(226*ln(1)+972*ln(2)+498*ln(3)+288*ln(4)+25*ln(5)+960*ln(960))/2969,5.216393861035981722240466872110,0.163012308157374428820014589753,0.070795345915060159159837163005
t4_balanced,10000,1,10000,10,3822,19000532,9495266,544:1;545:1;622:1;663:1;669:1;675:1;688:1;770:1;1002:1;3822:1,ln(10000)-(544*ln(544)+545*ln(545)+622*ln(622)+663*ln(663)+669*ln(669)+675*ln(675)+688*ln(688)+770*ln(770)+1002*ln(1002)+3822*ln(3822))/10000,2.012197739251356119996362322696,2.012197739251356119996362322696,0.873886374655062320254251063043
t4_balanced,10000,2,9999,100,3303,11408167,5699084,32:1;33:1;43:2;44:1;45:6;46:2;51:1;52:4;53:1;55:8;56:7;57:4;58:2;59:2;62:1;63:1;64:4;65:1;66:3;67:6;68:2;69:6;70:2;74:1;75:2;76:3;77:2;78:2;79:2;80:2;81:2;82:1;83:1;88:2;90:1;91:1;92:1;95:2;96:1;97:1;107:1;108:1;165:1;178:1;3303:1,ln(9999)-(32*ln(32)+33*ln(33)+86*ln(43)+44*ln(44)+270*ln(45)+92*ln(46)+51*ln(51)+208*ln(52)+53*ln(53)+440*ln(55)+392*ln(56)+228*ln(57)+116*ln(58)+118*ln(59)+62*ln(62)+63*ln(63)+256*ln(64)+65*ln(65)+198*ln(66)+402*ln(67)+136*ln(68)+414*ln(69)+140*ln(70)+74*ln(74)+150*ln(75)+228*ln(76)+154*ln(77)+156*ln(78)+158*ln(79)+160*ln(80)+162*ln(81)+82*ln(82)+83*ln(83)+176*ln(88)+90*ln(90)+91*ln(91)+92*ln(92)+190*ln(95)+96*ln(96)+97*ln(97)+107*ln(107)+108*ln(108)+165*ln(165)+178*ln(178)+3303*ln(3303))/9999,3.682469973312069246114298143022,1.841234986656034623057149071511,0.799638194591923348970900429536
t4_balanced,10000,4,9997,2364,3258,10639965,5314984,1:498;2:663;3:470;4:394;5:225;6:57;7:26;8:17;9:6;10:1;11:1;12:2;13:1;15:1;17:1;3258:1,ln(9997)-(498*ln(1)+1326*ln(2)+1410*ln(3)+1576*ln(4)+1125*ln(5)+342*ln(6)+182*ln(7)+136*ln(8)+54*ln(9)+10*ln(10)+11*ln(11)+24*ln(12)+13*ln(13)+15*ln(15)+17*ln(17)+3258*ln(3258))/9997,5.767340485951436363362554128096,1.441835121487859090840638532024,0.626181037076481920313263191005
t4_balanced,10000,8,9993,3484,3234,10475261,5232634,1:1294;2:1460;3:486;4:160;5:56;6:22;7:5;3234:1,ln(9993)-(1294*ln(1)+2920*ln(2)+1458*ln(3)+640*ln(4)+280*ln(5)+132*ln(6)+35*ln(7)+3234*ln(3234))/9993,6.067065637152023685161143009059,0.758383204644002960645142876132,0.329361640944995071210461545521
t4_balanced,10000,16,9985,3532,3192,10205265,5097640,1:1343;2:1459;3:486;4:162;5:60;6:21;3192:1,ln(9985)-(1343*ln(1)+2918*ln(2)+1458*ln(3)+648*ln(4)+300*ln(5)+126*ln(6)+3192*ln(3192))/9985,6.105620993835377889611948281323,0.381601312114711118100746767583,0.165727344138459560102175223956
